,relax_label,functional,label,relax_work,relaxed,energy,energy_fu,nform,volume,volume_fu,e_vasp_ref,type,natom,e_vasp_pa
0,2LFP-11212-7612-7 RELAX U=4.0,pbe,2LFP-11212-7612-7,11519b8b-1462-46f4-be35-c690a20faa2e,452862,-189.47153884,-47.36788471,4.0,346.5414438035584,86.6353609508896,0.642316104999999,AIRSS,28.0,0.09175944357142843
1,2LFP-11213-7340-1 RELAX U=4.0,pbe,2LFP-11213-7340-1,d2b8322d-21bf-4f20-a95b-b6d31a766aa8,453125,-190.79622102,-47.699055255,4.0,396.3214528863738,99.08036322159344,0.31114555999999993,AIRSS,28.0,0.044449365714285705
2,2LFP-11577-2798-5 RELAX U=4.0,pbe,2LFP-11577-2798-5,aa8ec747-86d6-415a-b488-966cdb065611,453056,-191.40849668,-47.85212417,4.0,307.03466419173697,76.75866604793424,0.1580766449999942,AIRSS,28.0,0.022582377857142028
4,2LFP-11577-2798-9 RELAX U=4.0,pbe,2LFP-11577-2798-9,d03d919f-a7a0-4321-a982-bf9f8dded5bc,452978,-190.70491824,-47.67622956,4.0,346.16693121404734,86.54173280351183,0.33397125499999447,AIRSS,28.0,0.04771017928571349
5,2LFP-11665-2192-4 RELAX U=4.0,pbe,2LFP-11665-2192-4,39597ff8-e916-40a1-bc53-7a01e9612505,457337,-189.64746188,-47.41186547,4.0,303.1368797676558,75.78421994191395,0.5983353449999953,AIRSS,28.0,0.08547647785714219
6,2LFP-12032-8430-2 RELAX U=4.0,pbe,2LFP-12032-8430-2,72e95aa7-ef25-4992-9c60-5a340e9ecf27,452084,-190.05467591,-47.5136689775,4.0,302.2796748155408,75.5699187038852,0.49653183750000096,AIRSS,28.0,0.07093311964285728
7,2LFP-12155-5886-5 RELAX U=4.0,pbe,2LFP-12155-5886-5,abb1c9b4-33f7-4303-8b43-e0ff2240f515,452915,-191.3609907,-47.840247675,4.0,340.309760525638,85.0774401314095,0.16995313999999695,AIRSS,28.0,0.024279019999999565
8,2LFP-12155-5886-6 RELAX U=4.0,pbe,2LFP-12155-5886-6,a1380101-724e-4f4d-a519-bb5627326ca7,452382,-189.81798256,-47.45449564,4.0,312.51993127435264,78.12998281858816,0.5557051749999999,AIRSS,28.0,0.07938645357142857
9,2LFP-12156-6028-7 RELAX U=4.0,pbe,2LFP-12156-6028-7,916e4749-a33c-4d9a-b042-f291976e7d85,458460,-191.19149053,-47.7978726325,4.0,368.65941864982085,92.16485466245521,0.21232818249999497,AIRSS,28.0,0.03033259749999928
10,2LFP-12264-4017-6 RELAX U=4.0,pbe,2LFP-12264-4017-6,422cfa67-1af2-4dfc-a30e-8cfe98bbcb04,453098,-191.29436465,-47.8235911625,4.0,360.89702896217665,90.22425724054416,0.18660965249999606,AIRSS,28.0,0.026658521785713724
11,2LFP-12264-4017-7 RELAX U=4.0,pbe,2LFP-12264-4017-7,a49cabdf-80fe-4850-9388-9c4e66bf8e2f,452764,-191.12746686,-47.781866715,4.0,323.52432252002353,80.88108063000588,0.22833409999999787,AIRSS,28.0,0.03261915714285684
13,2LFP-12771-8445-3 RELAX U=4.0,pbe,2LFP-12771-8445-3,f1f5102b-ff5f-4767-9ea5-1cbf726cb37e,451763,-191.19509601,-47.7987740025,4.0,309.80986518669476,77.45246629667369,0.21142681250000095,AIRSS,28.0,0.030203830357142993
14,2LFP-12771-8445-6 RELAX U=4.0,pbe,2LFP-12771-8445-6,353fbb74-1337-4542-9c32-13d249237344,451277,-191.05959253,-47.7648981325,4.0,336.6937493666872,84.1734373416718,0.24530268249999665,AIRSS,28.0,0.03504324035714238
17,2LFP-12771-8445-9 RELAX U=4.0,pbe,2LFP-12771-8445-9,79a611a0-6e89-4ed2-bf24-d329b6c6e970,452006,-191.48423003,-47.8710575075,4.0,359.8149780621006,89.95374451552514,0.13914330749999948,AIRSS,28.0,0.019877615357142782
18,2LFP-12961-691-9 RELAX U=4.0,pbe,2LFP-12961-691-9,b91a3ff3-7eac-4e9c-a75e-63685e897444,451241,-191.4191382,-47.85478455,4.0,352.58099307539317,88.14524826884829,0.1554162649999995,AIRSS,28.0,0.0222023235714285
21,2LFP-13214-1054-6 RELAX U=4.0,pbe,2LFP-13214-1054-6,da213eaf-5513-41d8-b1b8-194e688cf19f,451788,-190.78909347,-47.6972733675,4.0,290.9586541546656,72.7396635386664,0.31292744749999457,AIRSS,28.0,0.044703921071427795
23,2LFP-1404-3291-3 RELAX U=4.0,pbe,2LFP-1404-3291-3,e495f69a-46aa-4aa7-b40c-328ba91e0780,451484,-192.04076392,-48.01019098,4.0,300.5011035772307,75.12527589430768,9.835000000180116e-06,AIRSS,28.0,1.4050000000257308e-06
25,2LFP-16405-7869-6 RELAX U=4.0,pbe,2LFP-16405-7869-6,8e5969f2-2428-4e35-910e-034004f4d5fc,451209,-192.03904587,-48.0097614675,4.0,300.29765712937,75.0744142823425,0.00043934749999863243,AIRSS,28.0,6.27639285712332e-05
28,2LFP-17165-7777-8 RELAX U=4.0,pbe,2LFP-17165-7777-8,cfa762b1-0cc9-46ae-b127-ca756a53ffb7,451151,-191.54482455,-47.8862061375,4.0,340.8046312396206,85.20115780990515,0.1239946775000007,AIRSS,28.0,0.01771352535714296
29,2LFP-18346-6481-3 RELAX U=4.0,pbe,2LFP-18346-6481-3,1e058cd5-229f-4f62-aef6-daac06131b6f,452681,-191.43080288,-47.85770072,4.0,338.60901002596404,84.65225250649101,0.1525000950000006,AIRSS,28.0,0.021785727857142945
32,2LFP-1940-7841-1 RELAX U=4.0,pbe,2LFP-1940-7841-1,7613aacd-af29-4b91-85de-e5af652c773a,452097,-191.51245279,-47.8781131975,4.0,357.98455009460235,89.49613752365059,0.1320876174999981,AIRSS,28.0,0.01886965964285687
34,2LFP-19839-7511-7 RELAX U=4.0,pbe,2LFP-19839-7511-7,c33c3628-2ea4-40a0-b67d-772831e96dca,451304,-191.23111139,-47.8077778475,4.0,322.5746842796169,80.64367106990423,0.20242296749999866,AIRSS,28.0,0.028917566785714093
35,2LFP-19934-8797-5 RELAX U=4.0,pbe,2LFP-19934-8797-5,0950d327-96d1-4a04-a651-f039ac708a87,452645,-190.74781559,-47.6869538975,4.0,351.5278124315024,87.8819531078756,0.32324691750000056,AIRSS,28.0,0.04617813107142865
38,2LFP-19939-2839-2 RELAX U=4.0,pbe,2LFP-19939-2839-2,62a48b5e-ba97-43e8-99f3-256d2a54b737,455933,-191.53348268,-47.88337067,4.0,357.64481448670625,89.41120362167656,0.12683014499999956,AIRSS,28.0,0.01811859214285708
39,2LFP-20246-7083-6 RELAX U=4.0,pbe,2LFP-20246-7083-6,bba89ee0-f36d-4dc8-ad72-7b539261eff1,451794,-190.7898863,-47.697471575,4.0,291.121123770988,72.780280942747,0.3127292399999959,AIRSS,28.0,0.04467560571428513
42,2LFP-22324-3473-5 RELAX U=4.0,pbe,2LFP-22324-3473-5,a4e55a39-958a-489f-96bb-7205277c5022,451736,-190.93658098,-47.734145245,4.0,321.4182205192997,80.35455512982493,0.2760555699999969,AIRSS,28.0,0.03943650999999956
43,2LFP-23231-2013-1 RELAX U=4.0,pbe,2LFP-23231-2013-1,765ba8c9-4531-4308-9b2a-2d2aa256a7f4,452734,-190.64027831,-47.6600695775,4.0,347.5423966867855,86.88559917169637,0.3501312374999941,AIRSS,28.0,0.05001874821428487
45,2LFP-23232-1625-2 RELAX U=4.0,pbe,2LFP-23232-1625-2,67d4bc58-0479-48dc-b0b2-63fd1d4519d7,452123,-191.22789908,-47.80697477,4.0,323.037594363952,80.759398590988,0.20322604500000097,AIRSS,28.0,0.02903229214285728
49,2LFP-2341-6442-5 RELAX U=4.0,pbe,2LFP-2341-6442-5,3dfad832-7dae-4697-a452-bedb065c49bb,451097,-192.04010564,-48.01002641,4.0,300.5823260099697,75.14558150249242,0.00017440499999565873,AIRSS,28.0,2.4914999999379817e-05
