,relax_label,functional,label,relax_work,relaxed,energy,energy_fu,nform,volume,volume_fu,e_vasp_ref,type,natom,e_vasp_pa
3,2LFP-11577-2798-5 RELAX U=4.0 PBEsol,pbesol,2LFP-11577-2798-5,df876d37-0039-4efa-a7ad-cd7bf9fe9ba8,520147,-199.95920231,-49.9898005775,4.0,293.1897984082651,73.29744960206628,0.16819092250000267,AIRSS,28.0,0.024027274642857525
12,2LFP-12771-8445-3 RELAX U=4.0 PBEsol,pbesol,2LFP-12771-8445-3,0c3361b9-0728-4b5d-a771-fda22eb6d74e,519814,-199.69759116,-49.92439779,4.0,296.55294727146475,74.13823681786619,0.23359371000000095,AIRSS,28.0,0.033370530000000134
15,2LFP-12771-8445-6 RELAX U=4.0 PBEsol,pbesol,2LFP-12771-8445-6,7f3de536-e1fe-4e3c-bb7d-004d32567dea,523161,-199.14062042,-49.785155105,4.0,321.42576517523,80.3564412938075,0.3728363950000002,AIRSS,28.0,0.053262342142857175
16,2LFP-12771-8445-9 RELAX U=4.0 PBEsol,pbesol,2LFP-12771-8445-9,6c6bddc7-8374-4343-966b-97b479b1bf70,523235,-199.42978963,-49.8574474075,4.0,348.7541608627222,87.18854021568055,0.30054409250000447,AIRSS,28.0,0.042934870357143495
19,2LFP-12961-691-9 RELAX U=4.0 PBEsol,pbesol,2LFP-12961-691-9,d56b3bc2-7218-4fea-83c7-81b8c265a1c2,523241,-199.35193172,-49.83798293,4.0,340.5322660798955,85.13306651997388,0.3200085699999988,AIRSS,28.0,0.045715509999999834
20,2LFP-13214-1054-6 RELAX U=4.0 PBEsol,pbesol,2LFP-13214-1054-6,960fce97-ea10-45a8-8b10-b7711cc2f4dc,523173,-199.50382072,-49.87595518,4.0,280.4632453050561,70.11581132626402,0.2820363200000031,AIRSS,28.0,0.040290902857143304
22,2LFP-1404-3291-3 RELAX U=4.0 PBEsol,pbesol,2LFP-1404-3291-3,892f54a5-3b9e-42a3-8d10-6b42ceb4ba86,519666,-200.63218249,-50.1580456225,4.0,288.9161581931868,72.2290395482967,-5.4122499996367424e-05,AIRSS,28.0,-7.731785713766775e-06
24,2LFP-16405-7869-6 RELAX U=4.0 PBEsol,pbesol,2LFP-16405-7869-6,43172b96-ffb9-4fa8-9ec8-331ada5df4c4,519633,-200.62981454,-50.157453635,4.0,288.68876187745326,72.17219046936331,0.0005378649999983054,AIRSS,28.0,7.683785714261506e-05
26,2LFP-16645-2090-4 RELAX U=4.0 PBEsol,pbesol,2LFP-16645-2090-4,abcd88b2-ad40-4858-a469-5e7fb0668475,523908,-198.71234431,-49.6780860775,4.0,332.1999259907963,83.04998149769908,0.47990542250000345,AIRSS,28.0,0.0685579175000005
27,2LFP-17165-7777-8 RELAX U=4.0 PBEsol,pbesol,2LFP-17165-7777-8,a9ad7d60-4b79-4cb4-8ec4-123b81adb1b2,519937,-199.5114195,-49.877854875,4.0,329.6033614060207,82.40084035150518,0.28013662500000436,AIRSS,28.0,0.04001951785714348
