,relax_label,functional,label,relax_work,relaxed,energy,energy_fu,nform,volume,volume_fu,energy_per_atom,fmax,state,project_name,seed_name,umap,incar,pmg_struct,formula,e_vasp_ref,type,natom,e_vasp_ref_pa,max_force
60,2LiFeSO4F-200804-034722-678938 RELAXED RELAX U=4.0,pbe,2LiFeSO4F-200804-034722-678938,5605f777-bba3-4865-86b2-a96029a0f6b9,495542.0,-96.54569207,-48.272846035,2.0,207.6972740894657,103.84863704473285,,,,,,,,,,-0.0003675100000037901,AIRSS,16.0,-4.593875000047376e-05,0.026533291925566
38,4LiFeSO4F-200804-074522-8932e9 RELAX U=4.0 MICHAEL,pbe,4LiFeSO4F-200804-074522-8932e9,38476596-4504-4c96-92a5-08ef4077820f,152868.0,-193.03378805,-48.2584470125,4.0,417.19832143995217,104.29958035998804,,,,,,,,,,0.014031512499997234,AIRSS,32.0,0.0017539390624996543,0.02776576992733
34,4LiFeSO4F-210216-095035-20e7dc STATIC,pbe,4LiFeSO4F-210216-095035-20e7dc STATIC-run2,,,-192.95446488,-48.23861622,4.0,386.08229678138673,96.52057419534668,-6.0298270275,0.02549788626153352,successful,catdisc/LiFeSO4F/run2,4LiFeSO4F,"{'Li': 0.0, 'Fe': 4.0, 'S': 0.0, 'O': 0.0, 'F': 0.0}","{'ISTART': 1, 'PREC': 'accurate', 'ALGO': 'Normal', 'ISPIN': 2, 'ICHARG': 0, 'NELM': 200, 'NELMIN': 6, 'IBRION': -1, 'EDIFF': 3.2e-05, 'EDIFFG': -0.03, 'NSW': 0, 'ISIF': 3, 'ENMAX': 520.0, 'ENCUT': 520.0, 'MAGMOM': [0.0, 0.0, 0.0, 0.0, 3.749, 3.749, 3.747, 3.747, 0.011, 0.011, 0.011, 0.011, 0.022, 0.019, 0.018, 0.023, 0.022, 0.019, 0.019, 0.023, 0.019, 0.022, 0.023, 0.018, 0.019, 0.022, 0.023, 0.018, 0.055, 0.055, 0.055, 0.055], 'LREAL': False, 'ISMEAR': 0, 'SIGMA': 0.05, 'LMAXMIX': 4, 'LWAVE': False, 'LCHARG': True, 'LVHAR': True, 'LORBIT': 11, 'LASPH': True, 'LAECHG': True, 'KPOINT_BSE': [-1, 0, 0, 0], 'GGA': 'Pe', 'LDAU': True, 'LDAUTYPE': [2], 'LDAUL': [0, 2, 0, 0, 0], 'LDAUU': [0.0, 4.0, 0.0, 0.0, 0.0], 'LDAUJ': [0.0, 0.0, 0.0, 0.0, 0.0], 'LDAUPRINT': 1}","Full Formula (Li4 Fe4 S4 O16 F4)
Reduced Formula: LiFeSO4F
abc   :   7.773641   7.350031   8.163961
angles:  90.000000  90.000000 124.138291
Sites (32)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Li    0.892007  0.261344  0.169267     0
  1  Li    0.107993  0.738656  0.669267     0
  2  Li    0.392377  0.261189  0.259571     0
  3  Li    0.607623  0.738811  0.759571     0
  4  Fe    0.249819  0.999691  0.964631     3.749
  5  Fe    0.750181  0.000309  0.464631     3.749
  6  Fe    0.750097  0.500182  0.464585     3.747
  7  Fe    0.249903  0.499818  0.964585     3.747
  8  S     0.251696  0.754982  0.312045     0.011
  9  S     0.748304  0.245018  0.812045     0.011
 10  S     0.248479  0.244882  0.617104     0.011
 11  S     0.751521  0.755118  0.117104     0.011
 12  O     0.08656   0.715597  0.429998     0.022
 13  O     0.320554  0.955649  0.211908     0.019
 14  O     0.162963  0.560876  0.200378     0.018
 15  O     0.427517  0.78547   0.40701      0.023
 16  O     0.91344   0.284403  0.929998     0.022
 17  O     0.679446  0.044351  0.711908     0.019
 18  O     0.837037  0.439124  0.700379     0.018
 19  O     0.572483  0.21453   0.90701      0.023
 20  O     0.337396  0.438868  0.728947     0.019
 21  O     0.413372  0.28439   0.49889      0.022
 22  O     0.072524  0.214647  0.522519     0.023
 23  O     0.179664  0.044183  0.717082     0.018
 24  O     0.662604  0.561132  0.228947     0.019
 25  O     0.586628  0.71561   0.99889      0.022
 26  O     0.927476  0.785353  0.022519     0.023
 27  O     0.820336  0.955817  0.217082     0.018
 28  F     0.749608  0.745298  0.574083     0.055
 29  F     0.250392  0.254702  0.074083     0.055
 30  F     0.750449  0.255153  0.355057     0.055
 31  F     0.249551  0.744846  0.855057     0.055",LiFeSO4F,0.03386230499999954,AIRSS,32.0,0.004232788124999942,
4,F4Fe4Li4O16S4 mp-943492 RELAX U=4.0 AFM FORCE CONV RERUN FM PBE,pbe,mp-943492,7746676c-4993-4087-9b9d-80d45ca8a6f8,525468.0,-192.94008862,-48.235022155,4.0,383.67753586477954,95.91938396619489,,,,,,,,,,0.03745636999999391,MP,32.0,0.004682046249999239,0.026517104459795
25,4LiFeSO4F-200804-070941-02f116 RELAXED RELAX U=4.0,pbe,4LiFeSO4F-200804-070941-02f116,75a34470-7530-47c3-a961-d74329826cfc,495653.0,-192.93957708,-48.23489427,4.0,390.2111526028657,97.55278815071642,,,,,,,,,,0.037584254999998734,AIRSS,32.0,0.004698031874999842,0.035113621025045
34,4LiFeSO4F-200804-063655-9d6304 RELAXED RELAX U=4.0,pbe,4LiFeSO4F-200804-063655-9d6304,c8660fbc-c581-43e8-8a3c-5abb843e5bcb,259153.0,-192.932693,-48.23317325,4.0,379.9254168523054,94.98135421307634,,,,,,,,,,0.0393052749999967,AIRSS,32.0,0.004913159374999587,0.026839192470201
13,4LiFeSO4F-210216-074851-de1dc1 STATIC,pbe,4LiFeSO4F-210216-074851-de1dc1 STATIC-run2,,,-192.90767293,-48.2269182325,4.0,377.36423660184886,94.34105915046221,-6.0283647790625,0.046977073992126195,successful,catdisc/LiFeSO4F/run2,4LiFeSO4F,"{'Li': 0.0, 'Fe': 4.0, 'S': 0.0, 'O': 0.0, 'F': 0.0}","{'ISTART': 1, 'PREC': 'accurate', 'ALGO': 'Normal', 'ISPIN': 2, 'ICHARG': 0, 'NELM': 200, 'NELMIN': 6, 'IBRION': -1, 'EDIFF': 3.2e-05, 'EDIFFG': -0.03, 'NSW': 0, 'ISIF': 3, 'ENMAX': 520.0, 'ENCUT': 520.0, 'MAGMOM': [0.0, 0.0, 0.0, 0.0, 3.741, 3.741, 3.741, 3.741, 0.01, 0.01, 0.01, 0.01, 0.038, 0.022, 0.006, 0.022, 0.038, 0.022, 0.006, 0.022, 0.038, 0.022, 0.006, 0.022, 0.038, 0.022, 0.006, 0.022, 0.051, 0.051, 0.051, 0.051], 'LREAL': False, 'ISMEAR': 0, 'SIGMA': 0.05, 'LMAXMIX': 4, 'LWAVE': False, 'LCHARG': True, 'LVHAR': True, 'LORBIT': 11, 'LASPH': True, 'LAECHG': True, 'KPOINT_BSE': [-1, 0, 0, 0], 'GGA': 'Pe', 'LDAU': True, 'LDAUTYPE': [2], 'LDAUL': [0, 2, 0, 0, 0], 'LDAUU': [0.0, 4.0, 0.0, 0.0, 0.0], 'LDAUJ': [0.0, 0.0, 0.0, 0.0, 0.0], 'LDAUPRINT': 1}","Full Formula (Li4 Fe4 S4 O16 F4)
Reduced Formula: LiFeSO4F
abc   :   7.488842   6.456346   7.804755
angles:  90.000000  90.000000  90.000000
Sites (32)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Li    0.362563  0.621447  0.17719      0
  1  Li    0.637437  0.121447  0.82281      0
  2  Li    0.862563  0.621447  0.32281      0
  3  Li    0.137437  0.121447  0.67719      0
  4  Fe    0.500017  0.371557  0.499997     3.742
  5  Fe    0.499983  0.871557  0.500003     3.742
  6  Fe    1.7e-05   0.371557  3e-06        3.742
  7  Fe    0.999983  0.871557  0.999997     3.742
  8  S     0.366228  0.121508  0.154202     0.01
  9  S     0.633772  0.621508  0.845798     0.01
 10  S     0.866228  0.121508  0.345798     0.01
 11  S     0.133772  0.621508  0.654202     0.01
 12  O     0.189455  0.121526  0.059294     0.037
 13  O     0.368067  0.311267  0.265181     0.021
 14  O     0.514454  0.121442  0.034675     0.005
 15  O     0.368018  0.93174   0.265212     0.021
 16  O     0.810545  0.621526  0.940706     0.037
 17  O     0.631933  0.811267  0.734819     0.021
 18  O     0.485546  0.621442  0.965325     0.005
 19  O     0.631982  0.43174   0.734788     0.021
 20  O     0.689455  0.121526  0.440706     0.037
 21  O     0.868067  0.311267  0.234819     0.021
 22  O     0.014454  0.121442  0.465325     0.005
 23  O     0.868018  0.93174   0.234788     0.021
 24  O     0.310545  0.621526  0.559294     0.037
 25  O     0.131933  0.811267  0.765181     0.021
 26  O     0.985546  0.621442  0.534675     0.005
 27  O     0.131982  0.43174   0.765212     0.021
 28  F     0.108689  0.621544  0.133223     0.053
 29  F     0.891311  0.121544  0.866777     0.053
 30  F     0.608689  0.621544  0.366777     0.053
 31  F     0.391311  0.121544  0.633223     0.053",LiFeSO4F,0.04556029249999938,AIRSS,32.0,0.005695036562499922,
41,4LiFeSO4F-200804-055002-9fc062 RELAXED RELAX U=4.0,pbe,4LiFeSO4F-200804-055002-9fc062,67660289-3552-41e8-8ae1-a234dd1fd068,495681.0,-192.88124046,-48.220310115,4.0,372.8582702338499,93.21456755846248,,,,,,,,,,0.052168410000000165,AIRSS,32.0,0.006521051250000021,0.018352948865798
20,4LiFeSO4F-210216-004732-1e0e94 STATIC,pbe,4LiFeSO4F-210216-004732-1e0e94 STATIC-run2,,,-192.86301592,-48.21575398,4.0,366.3013514419468,91.5753378604867,-6.0269692475,0.03171972841274181,successful,catdisc/LiFeSO4F/run2,4LiFeSO4F,"{'Li': 0.0, 'Fe': 4.0, 'S': 0.0, 'O': 0.0, 'F': 0.0}","{'ISTART': 1, 'PREC': 'accurate', 'ALGO': 'Normal', 'ISPIN': 2, 'ICHARG': 0, 'NELM': 200, 'NELMIN': 6, 'IBRION': -1, 'EDIFF': 3.2e-05, 'EDIFFG': -0.03, 'NSW': 0, 'ISIF': 3, 'ENMAX': 520.0, 'ENCUT': 520.0, 'MAGMOM': [0.0, 0.0, 0.001, 0.001, 3.744, 3.744, 3.747, 3.747, 0.009, 0.01, 0.009, 0.009, 0.022, 0.02, 0.004, 0.03, 0.021, 0.019, 0.004, 0.03, 0.004, 0.02, 0.032, 0.018, 0.004, 0.02, 0.032, 0.018, 0.057, 0.057, 0.059, 0.058], 'LREAL': False, 'ISMEAR': 0, 'SIGMA': 0.05, 'LMAXMIX': 4, 'LWAVE': False, 'LCHARG': True, 'LVHAR': True, 'LORBIT': 11, 'LASPH': True, 'LAECHG': True, 'KPOINT_BSE': [-1, 0, 0, 0], 'GGA': 'Pe', 'LDAU': True, 'LDAUTYPE': [2], 'LDAUL': [0, 2, 0, 0, 0], 'LDAUU': [0.0, 4.0, 0.0, 0.0, 0.0], 'LDAUJ': [0.0, 0.0, 0.0, 0.0, 0.0], 'LDAUPRINT': 1}","Full Formula (Li4 Fe4 S4 O16 F4)
Reduced Formula: LiFeSO4F
abc   :   6.513315   7.292282   9.390451
angles:  70.885102  69.707963  63.474908
Sites (32)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Li    0.235945  0.992144  0.052871     0
  1  Li    0.719039  0.492144  0.552871     0
  2  Li    0.975831  0.845814  0.40073      0.001
  3  Li    0.777623  0.345814  0.90073      0.001
  4  Fe    0.2845    0.457815  0.179297     3.744
  5  Fe    0.078386  0.957815  0.679297     3.744
  6  Fe    0.343601  0.295337  0.530535     3.747
  7  Fe    0.830524  0.795337  0.030535     3.747
  8  S     0.463659  0.924666  0.349071     0.009
  9  S     0.262603  0.424666  0.849071     0.009
 10  S     0.802399  0.338317  0.239231     0.009
 11  S     0.620052  0.838317  0.739231     0.009
 12  O     0.260451  0.869739  0.459563     0.021
 13  O     0.490724  0.898773  0.191143     0.02
 14  O     0.682396  0.790697  0.402717     0.004
 15  O     0.41077   0.151469  0.338064     0.03
 16  O     0.410247  0.369739  0.959563     0.021
 17  O     0.419359  0.398773  0.691143     0.02
 18  O     0.124188  0.290697  0.902717     0.004
 19  O     0.099696  0.651469  0.838064     0.03
 20  O     0.963069  0.118775  0.237089     0.004
 21  O     0.648095  0.416788  0.128422     0.02
 22  O     0.940104  0.478357  0.185913     0.032
 23  O     0.658553  0.361021  0.400077     0.018
 24  O     0.681067  0.618775  0.737089     0.004
 25  O     0.806694  0.916788  0.628422     0.02
 26  O     0.395625  0.978357  0.685913     0.032
 27  O     0.580347  0.861021  0.900077     0.018
 28  F     0.11661   0.778681  0.088966     0.057
 29  F     0.015741  0.278681  0.588966     0.057
 30  F     0.879175  0.065335  0.877222     0.059
 31  F     0.178267  0.565335  0.377222     0.059",LiFeSO4F,0.056724544999994464,AIRSS,32.0,0.007090568124999308,
36,LiFeSO4F-triplite_5 RELAXED RELAX U=4.0,pbe,LiFeSO4F-triplite_5 RELAXED,6c5ac39e-a8ea-41d4-adf0-b6b74be42670,259560.0,-192.85181621,-48.2129540525,4.0,366.8497910069689,91.71244775174223,,,,,,,,,,0.059524472499994374,triplite,32.0,0.007440559062499297,0.029737301314504
