,label,relax_work,relaxed,energy,energy_fu,nform_vasp,volume_vasp,volume_fu,type,press,volume_castep,H,spin,aspin,nform_castep,formula,symm,nseen,H_raw,seed_name,FU,H_pa,e_castep_ref,e_vasp_ref,nform,natom
0,2LiFeSO4F-200804-014034-a067cc,1d2896fa-9e42-4803-a2c5-bc3862a42947,ce2d6718-0e1f-4435-87cb-dce7d2713a7a,-96.26677462,-48.13338731,2.0,240.72841753360157,120.36420876680079,AIRSS,0.01,117.365,0.219,4.0,4.05,2.0,LiFSFeO4,P-1,1.0,-3783.127,2LiFeSO4F,2,0.0136875,0.21900000000005093,0.13909121499999344,2.0,16.0
1,2LiFeSO4F-200804-014253-312279,9a4072b6-3178-4ac0-8b1d-b05b566b4908,eb1d7e94-39d7-4ca1-9249-c2d86946d34f,-95.91727286,-47.95863643,2.0,236.06634512822066,118.03317256411033,AIRSS,-0.04,117.404,0.331,4.0,4.06,2.0,LiFSFeO4,P-1,1.0,-3783.015,2LiFeSO4F,2,0.0206875,0.33100000000013097,0.31384209499999827,2.0,16.0
2,2LiFeSO4F-200804-014703-4b353a,6c8168ea-cf1e-4c94-b807-df9b3c809bd5,49b15573-f453-4d53-ad11-fa43bf861eaf,-96.39180296,-48.19590148,2.0,209.53770603832578,104.76885301916289,AIRSS,0.02,110.805,0.262,4.0,4.05,2.0,LiFSFeO4,P-1,1.0,-3783.084,2LiFeSO4F,2,0.016375,0.262000000000171,0.0765770449999934,2.0,16.0
3,2LiFeSO4F-200804-014737-2921ed,74612596-1575-44b8-a5b5-da692fdb954e,d32bc1fe-baab-4baa-b4b3-3e4abe0e4ded,-96.40200243,-48.201001215,2.0,188.77989163287995,94.38994581643998,AIRSS,0.04,94.697,0.229,4.0,4.04,2.0,LiFSFeO4,P-1,1.0,-3783.117,2LiFeSO4F,2,0.0143125,0.22899999999981446,0.0714773099999988,2.0,16.0
4,2LiFeSO4F-200804-015525-43dc3f,f80a6cfe-9f3c-4c08-9170-9eb6364fe5b1,81f24025-f1ca-449f-89bb-f24b4a2856a9,-96.19050873,-48.095254365,2.0,199.4285426082041,99.71427130410206,AIRSS,0.02,99.836,0.305,4.0,4.05,2.0,LiFSFeO4,P21,1.0,-3783.041,2LiFeSO4F,2,0.0190625,0.3049999999998363,0.1772241599999944,2.0,16.0
5,2LiFeSO4F-200804-020732-34acef,c8c202f1-4b9c-4dd0-9583-dfa5989a1ee7,47407a8a-7eb8-4769-ac48-3e9529a2ebf5,-95.64376605,-47.821883025,2.0,239.0601404035746,119.5300702017873,AIRSS,-0.03,119.692,0.371,4.0,4.05,2.0,LiFSFeO4,P21,1.0,-3782.975,2LiFeSO4F,2,0.0231875,0.3710000000000946,0.4505954999999986,2.0,16.0
6,2LiFeSO4F-200804-020905-dbb880,f8a75675-b2f0-431d-ad96-d59e31d5b1c0,b1fe37ac-d943-446b-9380-5547d20f82f9,-96.04538258,-48.02269129,2.0,187.76902717758182,93.88451358879091,AIRSS,-0.0,93.899,0.388,4.0,4.04,2.0,LiFSFeO4,P-1,1.0,-3782.958,2LiFeSO4F,2,0.02425,0.38799999999991996,0.24978723499999944,2.0,16.0
7,2LiFeSO4F-200804-021618-f2b2a2,59ff7be5-5ea0-4c93-83ce-83148b88ebe5,e0ce6ca9-e065-4303-88bc-e5b2ee4a9d2f,-96.26371154,-48.13185577,2.0,231.14416202006652,115.57208101003326,AIRSS,-0.03,111.129,0.384,4.0,4.05,2.0,LiFSFeO4,P-1,1.0,-3782.962,2LiFeSO4F,2,0.024,0.38400000000001455,0.14062275499999544,2.0,16.0
8,2LiFeSO4F-200804-022029-e21af5,77299876-eb21-48aa-aaa9-352747576e28,a523cae5-6568-47ac-9892-e1972f94b509,-96.28290276,-48.14145138,2.0,196.50881825303912,98.25440912651956,AIRSS,-0.02,99.737,0.194,4.0,4.06,2.0,LiFSFeO4,Cc,1.0,-3783.152,2LiFeSO4F,2,0.012125,0.19399999999995998,0.13102714499999735,2.0,16.0
9,2LiFeSO4F-200804-022154-9da9fb,00519227-16d0-4855-bc08-5e08b2722f37,26c3ba01-0867-4005-9af2-1c5352784fed,-96.26655502,-48.13327751,2.0,209.27186357629432,104.63593178814716,AIRSS,-0.02,103.349,0.049,4.0,4.06,2.0,LiFSFeO4,C2/m,1.0,-3783.297,2LiFeSO4F,2,0.0030625,0.04899999999997817,0.1392010149999976,2.0,16.0
10,2LiFeSO4F-200804-022644-43b3f4,efdcaefc-4e16-4391-9b45-dfc8bd20c995,7ce60f74-9ac3-43fb-8402-613297342d19,-96.39081068,-48.19540534,2.0,209.48675910731444,104.74337955365722,AIRSS,0.0,102.425,0.041,4.0,4.06,2.0,LiFSFeO4,P-1,1.0,-3783.305,2LiFeSO4F,2,0.0025625,0.04100000000016735,0.07707318499999616,2.0,16.0
11,2LiFeSO4F-200804-022713-dcb000,14fc71f3-c56b-4881-839a-218f8cae0b6b,fef2d340-199e-46a9-b979-997df3372091,-95.67648992,-47.83824496,2.0,262.6410601914982,131.3205300957491,AIRSS,-0.07,130.94,0.34,4.0,4.07,2.0,LiFSFeO4,P-1,1.0,-3783.006,2LiFeSO4F,2,0.02125,0.3400000000001455,0.43423356499999954,2.0,16.0
12,2LiFeSO4F-200804-022732-331650,2475bb5e-0e7f-4cb6-be2d-271867d6124b,0f47baa5-231f-4569-917b-99133d3f78e1,-96.13545659,-48.067728295,2.0,211.4882612863588,105.7441306431794,AIRSS,-0.02,103.241,0.263,4.0,4.06,2.0,LiFSFeO4,Cc,1.0,-3783.083,2LiFeSO4F,2,0.0164375,0.26299999999991996,0.20475022999999481,2.0,16.0
13,2LiFeSO4F-200804-023459-a8561d,93968547-a931-4153-9003-711ad787cbf0,833a5e4a-f381-4ff1-a66c-6d83894dde3d,-96.26332931,-48.131664655,2.0,230.25845125592755,115.12922562796378,AIRSS,0.04,115.5,0.142,4.0,4.07,2.0,LiFSFeO4,P-1,1.0,-3783.204,2LiFeSO4F,2,0.008875,0.14199999999982538,0.14081386999999523,2.0,16.0
14,2LiFeSO4F-200804-023710-6e2b99,8183a631-c800-440e-a0b7-4d3ef5086406,1d38c74c-6f93-474b-9463-958f76b60a19,-96.09299969,-48.046499845,2.0,207.14842643464124,103.57421321732062,AIRSS,-0.02,104.275,0.351,4.0,4.05,2.0,LiFSFeO4,P-1,1.0,-3782.995,2LiFeSO4F,2,0.0219375,0.3510000000001128,0.2259786799999972,2.0,16.0
15,2LiFeSO4F-200804-023841-2bc75d,de35bc57-28fe-4829-ba36-0f1a3b041c33,9c4917a8-9cde-468e-a3aa-8c1843e5dea5,-95.68762757,-47.843813785,2.0,239.74159854301226,119.87079927150613,AIRSS,0.05,124.409,0.357,4.0,4.07,2.0,LiFSFeO4,P21,1.0,-3782.989,2LiFeSO4F,2,0.0223125,0.3569999999999709,0.428664739999995,2.0,16.0
16,2LiFeSO4F-200804-024603-9378c0,02f6766d-e18b-4ad5-aa3b-0bb7903e067b,2bc4e235-663f-4d97-9ccb-bbe1c8e21a9a,-96.35318521,-48.176592605,2.0,209.6341046477495,104.81705232387475,AIRSS,-0.01,96.397,0.307,4.0,4.05,2.0,LiFSFeO4,P21,1.0,-3783.039,2LiFeSO4F,2,0.0191875,0.306999999999789,0.09588591999999352,2.0,16.0
